tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,customer_0000,True,Sun Jan 01 07:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10000, can you check my payment?",2,
2,SyntheticBrandSupport,False,Sun Jan 01 09:58:00 +0000 2023,@customer_0000 Sorry about that! We can see the duplicate charge for order 10000 and have flagged it for our billing team to reverse within 3-5 business days.,,1
3,customer_0001,True,Mon Jan 02 00:00:00 +0000 2023,"@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",4,
4,SyntheticBrandSupport,False,Mon Jan 02 02:28:00 +0000 2023,@customer_0001 We're sorry to see you go! We've submitted the cancellation request - you'll get a confirmation email shortly.,,3
5,customer_0002,True,Tue Jan 03 14:00:00 +0000 2023,@SyntheticBrandSupport How do I cancel order 10002 before it ships?,6,
6,SyntheticBrandSupport,False,Tue Jan 03 17:19:00 +0000 2023,@customer_0002 We're sorry to see you go! We've submitted the cancellation request - you'll get a confirmation email shortly.,,5
7,customer_0003,True,Wed Jan 04 04:00:00 +0000 2023,@SyntheticBrandSupport The app keeps crashing when I try to check out.,,
8,customer_0004,True,Thu Jan 05 11:00:00 +0000 2023,@SyntheticBrandSupport Can I get my money back for order 10004? It's not what I expected.,9,
9,SyntheticBrandSupport,False,Thu Jan 05 14:11:00 +0000 2023,@customer_0004 We're sorry to hear that! We've started a refund for order 10004; it should reflect in your account within 5-7 business days.,,8
10,customer_0005,True,Fri Jan 06 17:00:00 +0000 2023,@SyntheticBrandSupport How do I cancel order 10005 before it ships?,11,
11,SyntheticBrandSupport,False,Fri Jan 06 19:32:00 +0000 2023,@customer_0005 We can help cancel order 10005 if it hasn't shipped yet - please DM your order email to confirm.,,10
12,customer_0006,True,Sat Jan 07 02:00:00 +0000 2023,@SyntheticBrandSupport What's the status of order 10006? It's been a few days.,13,
13,SyntheticBrandSupport,False,Sat Jan 07 03:16:00 +0000 2023,@customer_0006 Thanks for your patience! Order 10006 status can take up to 48 hours to update; we'll follow up if there's any delay.,,12
14,customer_0007,True,Mon Jan 09 11:00:00 +0000 2023,"@SyntheticBrandSupport I can't log into my account, it keeps saying wrong password.",15,
15,SyntheticBrandSupport,False,Mon Jan 09 13:40:00 +0000 2023,"@customer_0007 So sorry for the trouble logging in! Please try the password reset link at our help center; if that fails, DM your registered email and we'll assist.",,14
16,customer_0008,True,Tue Jan 10 14:00:00 +0000 2023,"@SyntheticBrandSupport Order 10008 shows processing for a week now, any update?",17,
17,SyntheticBrandSupport,False,Tue Jan 10 17:00:00 +0000 2023,@customer_0008 Let us check on order 10008 for you - please DM your order confirmation email so we can look into the current status.,,16
18,customer_0009,True,Wed Jan 11 01:00:00 +0000 2023,@SyntheticBrandSupport Payment of $19.99 did not go through but my bank shows it was taken.,19,
19,SyntheticBrandSupport,False,Wed Jan 11 01:59:00 +0000 2023,@customer_0009 Sorry about that! We can see the duplicate charge for order 10009 and have flagged it for our billing team to reverse within 3-5 business days.,,18
20,customer_0010,True,Thu Jan 12 20:00:00 +0000 2023,@SyntheticBrandSupport Getting error code 502 every time I open the dashboard.,21,
21,SyntheticBrandSupport,False,Thu Jan 12 20:41:00 +0000 2023,@customer_0010 We're aware some users are seeing this error and our team is investigating - thanks for your patience.,,20
22,customer_0011,True,Fri Jan 13 13:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10011 in 5 days.,23,
23,SyntheticBrandSupport,False,Fri Jan 13 13:40:00 +0000 2023,@customer_0011 We're sorry to hear that! Please DM us order 10011 and we'll open an investigation with the carrier right away.,,22
24,customer_0012,True,Sat Jan 14 04:00:00 +0000 2023,"@SyntheticBrandSupport I was charged twice for order 10012, can you check my payment?",25,
25,SyntheticBrandSupport,False,Sat Jan 14 06:37:00 +0000 2023,@customer_0012 We understand the frustration. Please DM us your order 10012 and email on file so we can verify the payment and correct the charge.,,24
26,customer_0013,True,Sun Jan 15 08:00:00 +0000 2023,@SyntheticBrandSupport Is there a student discount available?,27,
27,SyntheticBrandSupport,False,Sun Jan 15 10:59:00 +0000 2023,"@customer_0013 Great question! Yes, our product supports international accounts - happy to share more details if needed.",,26
28,customer_0014,True,Tue Jan 17 03:00:00 +0000 2023,"@SyntheticBrandSupport Order 10014 arrived damaged in the box, what should I do?",29,
29,SyntheticBrandSupport,False,Tue Jan 17 03:05:00 +0000 2023,@customer_0014 That's not the experience we want for you - we'll arrange a replacement for order 10014 once you confirm your shipping address via DM.,,28
30,customer_0015,True,Wed Jan 18 05:00:00 +0000 2023,@SyntheticBrandSupport Tracking hasn't updated for order 10015 in 5 days.,,
31,customer_0016,True,Thu Jan 19 11:00:00 +0000 2023,@SyntheticBrandSupport What's the status of order 10016? It's been a few days.,32,
32,SyntheticBrandSupport,False,Thu Jan 19 13:38:00 +0000 2023,@customer_0016 Let us check on order 10016 for you - please DM your order confirmation email so we can look into the current status.,,31
33,customer_0017,True,Fri Jan 20 09:00:00 +0000 2023,"@SyntheticBrandSupport just saying hi, love your product!",,
34,customer_0018,True,Sat Jan 21 02:00:00 +0000 2023,@SyntheticBrandSupport Can I get my money back for order 10018? It's not what I expected.,35,
