example_id,customer_text,context,candidate_intent,gold_intent,gold_reply_quality,gold_escalate,gold_escalation_reason,annotator_notes
golden_0000,Why was I billed $49.99 when my plan should cost less?,@SyntheticBrandSupport Why was I billed $49.99 when my plan should cost less?,,,,,,
golden_0001,"I was charged twice for order 10051, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10051, can you check my payment?",,,,,,
golden_0002,Payment of $19.99 did not go through but my bank shows it was taken.,@SyntheticBrandSupport Payment of $19.99 did not go through but my bank shows it was taken.,,,,,,
golden_0003,How do I cancel order 10087 before it ships?,@SyntheticBrandSupport How do I cancel order 10087 before it ships?,,,,,,
golden_0004,Tracking hasn't updated for order 10011 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10011 in 5 days.,,,,,,
golden_0005,"I want a refund for order 10143, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10143, it arrived damaged.",,,,,,
golden_0006,What's the status of order 10117? It's been a few days.,@SyntheticBrandSupport What's the status of order 10117? It's been a few days.,,,,,,
golden_0007,How do I cancel order 10005 before it ships?,@SyntheticBrandSupport How do I cancel order 10005 before it ships?,,,,,,
golden_0008,"Order 10050 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10050 shows processing for a week now, any update?",,,,,,
golden_0009,"I want a refund for order 10181, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10181, it arrived damaged.",,,,,,
golden_0010,The search feature on the site is completely broken for me.,@SyntheticBrandSupport The search feature on the site is completely broken for me.,,,,,,
golden_0011,What's the status of order 10141? It's been a few days.,@SyntheticBrandSupport What's the status of order 10141? It's been a few days.,,,,,,
golden_0012,"Order 10020 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10020 shows processing for a week now, any update?",,,,,,
golden_0013,My package for order 10066 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10066 was marked delivered but I never received it.,,,,,,
golden_0014,My payment for order 10118 failed but the amount was deducted from my card.,@SyntheticBrandSupport My payment for order 10118 failed but the amount was deducted from my card.,,,,,,
golden_0015,"I want a refund for order 10212, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10212, it arrived damaged.",,,,,,
golden_0016,"Order 10186 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10186 shows processing for a week now, any update?",,,,,,
golden_0017,"Please refund my subscription, I was charged after I cancelled.","@SyntheticBrandSupport Please refund my subscription, I was charged after I cancelled.",,,,,,
golden_0018,Payment of $150.0 did not go through but my bank shows it was taken.,@SyntheticBrandSupport Payment of $150.0 did not go through but my bank shows it was taken.,,,,,,
golden_0019,My package for order 10211 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10211 was marked delivered but I never received it.,,,,,,
golden_0020,"Two factor code never arrives, I can't access my account.","@SyntheticBrandSupport Two factor code never arrives, I can't access my account.",,,,,,
golden_0021,"Order 10068 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10068 shows processing for a week now, any update?",,,,,,
golden_0022,Can I get my money back for order 10100? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10100? It's not what I expected.,,,,,,
golden_0023,"I want a refund for order 10108, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10108, it arrived damaged.",,,,,,
golden_0024,"I want a refund for order 10081, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10081, it arrived damaged.",,,,,,
golden_0025,What's the status of order 10006? It's been a few days.,@SyntheticBrandSupport What's the status of order 10006? It's been a few days.,,,,,,
golden_0026,"Locked out of my account after resetting my password, please help.","@SyntheticBrandSupport Locked out of my account after resetting my password, please help.",,,,,,
golden_0027,My package for order 10237 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10237 was marked delivered but I never received it.,,,,,,
golden_0028,"Order 10154 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10154 shows processing for a week now, any update?",,,,,,
golden_0029,How do I cancel order 10246 before it ships?,@SyntheticBrandSupport How do I cancel order 10246 before it ships?,,,,,,
golden_0030,The app keeps crashing when I try to check out.,@SyntheticBrandSupport The app keeps crashing when I try to check out.,,,,,,
golden_0031,My package for order 10111 was marked delivered but I never received it.,@SyntheticBrandSupport My package for order 10111 was marked delivered but I never received it.,,,,,,
golden_0032,"I want a refund for order 10022, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10022, it arrived damaged.",,,,,,
golden_0033,What's the status of order 10252? It's been a few days.,@SyntheticBrandSupport What's the status of order 10252? It's been a few days.,,,,,,
golden_0034,Why was I billed $9.99 when my plan should cost less?,@SyntheticBrandSupport Why was I billed $9.99 when my plan should cost less?,,,,,,
golden_0035,What's the status of order 10238? It's been a few days.,@SyntheticBrandSupport What's the status of order 10238? It's been a few days.,,,,,,
golden_0036,"I can't log into my account, it keeps saying wrong password.","@SyntheticBrandSupport I can't log into my account, it keeps saying wrong password.",,,,,,
golden_0037,Tracking hasn't updated for order 10083 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10083 in 5 days.,,,,,,
golden_0038,"Order 10235 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10235 shows processing for a week now, any update?",,,,,,
golden_0039,"I was charged twice for order 10000, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10000, can you check my payment?",,,,,,
golden_0040,What's the status of order 10091? It's been a few days.,@SyntheticBrandSupport What's the status of order 10091? It's been a few days.,,,,,,
golden_0041,"Order 10008 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10008 shows processing for a week now, any update?",,,,,,
golden_0042,"I want a refund for order 10135, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10135, it arrived damaged.",,,,,,
golden_0043,"I was charged twice for order 10041, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10041, can you check my payment?",,,,,,
golden_0044,How do I cancel order 10197 before it ships?,@SyntheticBrandSupport How do I cancel order 10197 before it ships?,,,,,,
golden_0045,"I was charged twice for order 10149, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10149, can you check my payment?",,,,,,
golden_0046,Getting error code 502 every time I open the dashboard.,@SyntheticBrandSupport Getting error code 502 every time I open the dashboard.,,,,,,
golden_0047,What's the status of order 10251? It's been a few days.,@SyntheticBrandSupport What's the status of order 10251? It's been a few days.,,,,,,
golden_0048,What's the status of order 10160? It's been a few days.,@SyntheticBrandSupport What's the status of order 10160? It's been a few days.,,,,,,
golden_0049,"I want a refund for order 10069, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10069, it arrived damaged.",,,,,,
golden_0050,How do I cancel order 10097 before it ships?,@SyntheticBrandSupport How do I cancel order 10097 before it ships?,,,,,,
golden_0051,"Order 10065 shows processing for a week now, any update?","@SyntheticBrandSupport Order 10065 shows processing for a week now, any update?",,,,,,
golden_0052,"Please cancel my subscription, I no longer need it.","@SyntheticBrandSupport Please cancel my subscription, I no longer need it.",,,,,,
golden_0053,Can I get my money back for order 10121? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10121? It's not what I expected.,,,,,,
golden_0054,"Order 10082 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10082 arrived damaged in the box, what should I do?",,,,,,
golden_0055,"I was charged twice for order 10256, can you check my payment?","@SyntheticBrandSupport I was charged twice for order 10256, can you check my payment?",,,,,,
golden_0056,My payment for order 10029 failed but the amount was deducted from my card.,@SyntheticBrandSupport My payment for order 10029 failed but the amount was deducted from my card.,,,,,,
golden_0057,Tracking hasn't updated for order 10058 in 5 days.,@SyntheticBrandSupport Tracking hasn't updated for order 10058 in 5 days.,,,,,,
golden_0058,How do I cancel order 10142 before it ships?,@SyntheticBrandSupport How do I cancel order 10142 before it ships?,,,,,,
golden_0059,"I want a refund for order 10166, it arrived damaged.","@SyntheticBrandSupport I want a refund for order 10166, it arrived damaged.",,,,,,
golden_0060,"Order 10145 arrived damaged in the box, what should I do?","@SyntheticBrandSupport Order 10145 arrived damaged in the box, what should I do?",,,,,,
golden_0061,What's the status of order 10016? It's been a few days.,@SyntheticBrandSupport What's the status of order 10016? It's been a few days.,,,,,,
golden_0062,Can I get my money back for order 10004? It's not what I expected.,@SyntheticBrandSupport Can I get my money back for order 10004? It's not what I expected.,,,,,,
